iter	MultiClass
0	0.9771204516
1	0.8407374265
2	0.7624930202
3	0.7158811268
4	0.6174174753
5	0.5725087028
6	0.533420675
7	0.4794314831
8	0.4452526054
9	0.4191559729
10	0.3868521284
11	0.3630993024
12	0.3464386312
13	0.3255631627
14	0.3163542819
15	0.3061551874
16	0.2912986806
17	0.2796408355
18	0.2669969713
19	0.2532734821
20	0.2399666467
21	0.2308436935
22	0.2188597422
23	0.2093893406
24	0.2051338468
25	0.2017778231
26	0.1958058526
27	0.1912945016
28	0.18148545
29	0.1737715879
30	0.1669057472
31	0.1609655908
32	0.1600532044
33	0.1530421488
34	0.1488361033
35	0.1456123625
36	0.1428188913
37	0.1388861946
38	0.1348583108
39	0.1321867723
40	0.1263566896
41	0.1229834662
42	0.1200206336
43	0.1179314752
44	0.1144431428
45	0.1125581986
46	0.1098937776
47	0.1076810008
48	0.1042526874
49	0.1026072084
50	0.09889462843
51	0.09706137063
52	0.09405599542
53	0.09239609932
54	0.09053390232
55	0.08812558621
56	0.08646296558
57	0.08537335478
58	0.08407229735
59	0.08313353484
60	0.08213401807
61	0.08126207769
62	0.07927596449
63	0.07839148061
64	0.07657971289
65	0.07537746645
66	0.07452804832
67	0.07371817076
68	0.07275022348
69	0.07172800247
70	0.06949168086
71	0.0688178195
72	0.06778860533
73	0.06651497053
74	0.06582558664
75	0.06454367403
76	0.06414410861
77	0.06333832103
78	0.06265685403
79	0.06204596891
80	0.06133020646
81	0.06019231889
82	0.059307341
83	0.05844176475
84	0.05738485598
85	0.05671641242
86	0.05611276752
87	0.05512897288
88	0.05438888862
89	0.05396534746
90	0.05325857947
91	0.0524252467
92	0.05190632735
93	0.05157739431
94	0.05124296236
95	0.05081135277
96	0.0500578789
97	0.04964376065
98	0.04879518734
99	0.0481397617
100	0.04751716213
101	0.04695134539
102	0.04669436451
103	0.04641522042
104	0.04551679919
105	0.04514846291
106	0.04479970966
107	0.04445347451
108	0.04395489437
109	0.04359328528
110	0.04332510535
111	0.0429936175
112	0.04241314588
113	0.04213641159
114	0.04181418571
115	0.04158480321
116	0.04140294657
117	0.04090360395
118	0.04062589039
119	0.03990118044
120	0.03951861297
121	0.0389470823
122	0.03856129417
123	0.03831272593
124	0.03770451709
125	0.03757335201
126	0.03724032103
127	0.03697009065
128	0.03678768666
129	0.03653560669
130	0.03625857825
131	0.03567227404
132	0.03537358158
133	0.03512083162
134	0.03477285472
135	0.03457623877
136	0.03415547187
137	0.03392570854
138	0.03358887626
139	0.03325424021
140	0.03300627442
141	0.03277240311
142	0.03264933707
143	0.03232452168
144	0.03217272553
145	0.03194348791
146	0.0314692701
147	0.03120842659
148	0.03097220385
149	0.03053218697
150	0.03007933338
151	0.02957167097
152	0.0292619569
153	0.02885062419
154	0.02866219266
155	0.02847359755
156	0.02809268731
157	0.02794062577
158	0.0278650598
159	0.02760578313
160	0.02731695236
161	0.02694276152
162	0.02685264388
163	0.02670709842
164	0.02647683236
165	0.02630017521
166	0.02614304675
167	0.02604208024
168	0.02586553113
169	0.02578689005
170	0.02563264891
171	0.02554108083
172	0.02531739004
173	0.02518809136
174	0.02495303464
175	0.02485646312
176	0.02465736103
177	0.02447146697
178	0.02434161519
179	0.02424520325
180	0.02413012658
181	0.02397653081
182	0.02365104838
183	0.02350360222
184	0.02323059344
185	0.02309295989
186	0.02272681381
187	0.0224895964
188	0.02224940937
189	0.02206110669
190	0.02184769005
191	0.02174243685
192	0.02164948049
193	0.02155765605
194	0.02140182531
195	0.02123458515
196	0.02109137562
197	0.0210070531
198	0.02090893742
199	0.02069286902
