time,open,high,low,close,tick_volume,spread,real_volume,timestamp
1756175100,1.16146,1.16161,1.16143,1.16144,52,2,0,2025-08-26 02:25:00
1756175400,1.16144,1.16165,1.1614,1.16164,66,2,0,2025-08-26 02:30:00
1756175700,1.16164,1.16165,1.16153,1.16164,100,2,0,2025-08-26 02:35:00
1756176000,1.16164,1.16166,1.1613,1.1614200000000001,107,2,0,2025-08-26 02:40:00
1756176300,1.1614200000000001,1.16145,1.16122,1.16137,78,2,0,2025-08-26 02:45:00
1756176600,1.16137,1.1615199999999999,1.16128,1.1614200000000001,90,2,0,2025-08-26 02:50:00
1756176900,1.1614200000000001,1.16145,1.16133,1.16144,64,2,0,2025-08-26 02:55:00
1756177200,1.16144,1.16374,1.16101,1.16308,659,2,0,2025-08-26 03:00:00
1756177500,1.16308,1.16421,1.16286,1.16338,772,2,0,2025-08-26 03:05:00
1756177800,1.16338,1.16505,1.16306,1.16495,602,2,0,2025-08-26 03:10:00
