datahora,ativo,sinal_robo,preco_entrada,padrao,confianca,motivo,sinal_ideal_n1,resultado,lucro_pips_n1,pendente
2025-08-15 18:55:00,GBPUSD,0,1.35622,RandomForest:0|XGBoost:0|LSTM:0,0.69,random_forest:0|Conf:0.62|ConfEff:0.37|xgboost:0|Conf:0.98|ConfEff:0.42|lstm:0|Conf:0.48|ConfEff:0.29|mp=0.000; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 19:00:00,EURUSD,0,1.17045,RandomForest:0|XGBoost:0|LSTM:1,0.57,random_forest:0|Conf:0.53|ConfEff:0.32|xgboost:0|Conf:0.59|ConfEff:0.35|lstm:1|Conf:0.60|ConfEff:0.60|mp=0.470; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 19:00:00,GBPUSD,0,1.35594,RandomForest:0|XGBoost:0|LSTM:1,0.78,random_forest:0|Conf:0.67|ConfEff:0.40|xgboost:0|Conf:1.00|ConfEff:0.42|lstm:1|Conf:0.66|ConfEff:0.66|mp=0.447; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 19:05:00,EURUSD,0,1.17035,RandomForest:0|XGBoost:0|LSTM:1,0.66,random_forest:0|Conf:0.64|ConfEff:0.38|xgboost:0|Conf:0.79|ConfEff:0.42|lstm:1|Conf:0.54|ConfEff:0.54|mp=0.402; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 19:05:00,GBPUSD,0,1.35573,RandomForest:0|XGBoost:0|LSTM:1,0.73,random_forest:0|Conf:0.66|ConfEff:0.40|xgboost:0|Conf:0.99|ConfEff:0.42|lstm:1|Conf:0.52|ConfEff:0.52|mp=0.390; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 19:10:00,EURUSD,0,1.17046,RandomForest:0|XGBoost:0|LSTM:1,0.61,random_forest:0|Conf:0.57|ConfEff:0.34|xgboost:0|Conf:0.65|ConfEff:0.39|lstm:1|Conf:0.62|ConfEff:0.62|mp=0.457; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 19:10:00,GBPUSD,0,1.35568,RandomForest:0|XGBoost:0|LSTM:1,0.72,random_forest:0|Conf:0.67|ConfEff:0.40|xgboost:0|Conf:0.99|ConfEff:0.42|lstm:1|Conf:0.49|ConfEff:0.49|mp=0.373; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 19:15:00,EURUSD,0,1.17041,RandomForest:0|XGBoost:0|LSTM:1,0.67,random_forest:0|Conf:0.65|ConfEff:0.39|xgboost:0|Conf:0.74|ConfEff:0.42|lstm:1|Conf:0.62|ConfEff:0.62|mp=0.435; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 19:15:00,GBPUSD,0,1.3556,RandomForest:0|XGBoost:0|LSTM:1,0.73,random_forest:0|Conf:0.69|ConfEff:0.41|xgboost:0|Conf:1.00|ConfEff:0.42|lstm:1|Conf:0.51|ConfEff:0.51|mp=0.378; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 19:20:00,EURUSD,0,1.17029,RandomForest:0|XGBoost:0|LSTM:1,0.65,random_forest:0|Conf:0.64|ConfEff:0.38|xgboost:0|Conf:0.63|ConfEff:0.38|lstm:1|Conf:0.69|ConfEff:0.69|mp=0.474; Score_Reforco=0.0,0,neutro,0.0,False
